事件名称,设备名称,开始时间,结束时间
A7S3,24105,2025-12-30 14:36:15,2025-12-30 14:36:27
A7S3,24105,2025-12-30 14:37:23,2025-12-30 14:37:30
A7S3,24105,2025-12-30 14:37:53,2025-12-30 14:38:02
FX6,24105,2025-12-30 14:37:53,2025-12-30 14:37:55
A7S3,24105,2025-12-30 14:38:43,2025-12-30 14:39:00
A7S3,24105,2025-12-30 14:39:07,2025-12-30 14:39:21
FX6,70200,2025-12-30 14:39:54,2025-12-30 14:40:30
A7S3,24105,2025-12-30 14:40:30,2025-12-30 14:40:44
FX6,70200,2025-12-30 14:40:49,2025-12-30 14:41:28
FX6,70200,2025-12-30 14:41:13,2025-12-30 14:41:28
A7S3,24105,2025-12-30 14:41:24,2025-12-30 14:41:41
A7S3,24105,2025-12-30 14:41:35,2025-12-30 14:41:38
FX6,24105,2025-12-30 14:41:57,2025-12-30 14:43:56
FX6,70200,2025-12-30 14:42:08,2025-12-30 14:42:44
A7S3,24105,2025-12-30 14:42:17,2025-12-30 14:42:46
FX6,70200,2025-12-30 14:42:21,2025-12-30 14:42:33
FX6,70200,2025-12-30 14:42:37,2025-12-30 14:42:52
A7S3,24105,2025-12-30 14:42:46,2025-12-30 14:43:00
FX6,70200,2025-12-30 14:42:50,2025-12-30 14:43:02
FX6,70200,2025-12-30 14:43:25,2025-12-30 14:43:59
FX6,70200,2025-12-30 14:43:38,2025-12-30 14:43:45
FX6,70200,2025-12-30 14:43:57,2025-12-30 14:44:14
FX6,70200,2025-12-30 14:44:08,2025-12-30 14:44:18
FX6,70200,2025-12-30 14:44:22,2025-12-30 14:44:33
A7S3,24105,2025-12-30 14:44:29,2025-12-30 14:44:38
FX6,70200,2025-12-30 14:44:37,2025-12-30 14:44:49
A7S3,24105,2025-12-30 14:44:48,2025-12-30 14:44:57
FX6,70200,2025-12-30 14:44:52,2025-12-30 14:45:04
FX6,70200,2025-12-30 14:45:10,2025-12-30 14:45:22
A7S3,24105,2025-12-30 14:45:20,2025-12-30 14:45:36
A7S3,24105,2025-12-30 14:45:56,2025-12-30 14:46:11
FX6,70200,2025-12-30 14:45:58,2025-12-30 14:46:28
FX6,70200,2025-12-30 14:46:23,2025-12-30 14:46:42
A7S3,24105,2025-12-30 14:46:24,2025-12-30 14:46:42
FX6,70200,2025-12-30 14:46:39,2025-12-30 14:46:53
A7S3,24105,2025-12-30 14:46:58,2025-12-30 14:47:15
FX6,24105,2025-12-30 14:47:34,2025-12-30 14:53:10
A7S3,24105,2025-12-30 14:47:43,2025-12-30 14:47:55
FX6,70200,2025-12-30 14:47:58,2025-12-30 14:48:10
A7S3,24105,2025-12-30 14:48:02,2025-12-30 14:48:11
FX6,70200,2025-12-30 14:48:41,2025-12-30 14:48:56
FX6,24105,2025-12-30 14:48:57,2025-12-30 14:50:15
FX6,70200,2025-12-30 14:49:13,2025-12-30 14:49:35
FX6,70200,2025-12-30 14:49:27,2025-12-30 14:49:36
FX6,70200,2025-12-30 14:49:41,2025-12-30 14:49:52
FX6,70200,2025-12-30 14:49:59,2025-12-30 14:50:12
A7S3,24105,2025-12-30 14:50:21,2025-12-30 14:50:39
A7S3,24105,2025-12-30 14:50:45,2025-12-30 14:50:59
FX6,70200,2025-12-30 14:50:55,2025-12-30 14:51:14
FX6,70200,2025-12-30 14:51:05,2025-12-30 14:51:10
FX6,70200,2025-12-30 14:51:26,2025-12-30 14:51:41
A7S3,24105,2025-12-30 14:51:32,2025-12-30 14:51:46
FX6,70200,2025-12-30 14:51:49,2025-12-30 14:52:11
A7S3,24105,2025-12-30 14:51:58,2025-12-30 14:52:09
FX6,70200,2025-12-30 14:52:01,2025-12-30 14:52:10
FX6,70200,2025-12-30 14:52:15,2025-12-30 14:52:23
FX6,70200,2025-12-30 14:52:24,2025-12-30 14:52:32
FX6,70200,2025-12-30 14:52:32,2025-12-30 14:52:38
FX6,24105,2025-12-30 14:53:13,2025-12-30 14:57:26
FX6,70200,2025-12-30 14:53:15,2025-12-30 14:53:19
FX6,70200,2025-12-30 14:53:38,2025-12-30 14:53:53
FX6,70200,2025-12-30 14:54:01,2025-12-30 14:54:22
FX6,24105,2025-12-30 14:54:03,2025-12-30 14:54:51
FX6,70200,2025-12-30 14:54:12,2025-12-30 14:54:20
FX6,70200,2025-12-30 14:54:28,2025-12-30 14:54:42
A7S3,24105,2025-12-30 14:54:43,2025-12-30 14:54:57
FX6,70200,2025-12-30 14:55:02,2025-12-30 14:55:22
A7S3,24105,2025-12-30 14:55:06,2025-12-30 14:55:12
FX6,70200,2025-12-30 14:55:15,2025-12-30 14:55:25
A7S3,24105,2025-12-30 14:55:40,2025-12-30 14:55:56
A7S3,24105,2025-12-30 14:55:56,2025-12-30 14:56:09
FX6,70200,2025-12-30 14:56:06,2025-12-30 14:56:12
FX6,70200,2025-12-30 14:56:15,2025-12-30 14:56:22
A7S3,24105,2025-12-30 14:56:58,2025-12-30 14:57:28
FX6,24105,2025-12-30 14:57:03,2025-12-30 15:00:01
FX6,70200,2025-12-30 14:57:24,2025-12-30 14:57:28
FX6,70200,2025-12-30 14:57:27,2025-12-30 14:57:29
A7S3,24105,2025-12-30 14:57:30,2025-12-30 14:57:43
FX6,70200,2025-12-30 14:57:56,2025-12-30 14:58:20
A7S3,24105,2025-12-30 14:57:58,2025-12-30 14:58:10
FX6,24105,2025-12-30 14:58:03,2025-12-30 14:59:01
FX6,70200,2025-12-30 14:58:23,2025-12-30 14:58:48
FX6,70200,2025-12-30 14:58:59,2025-12-30 14:59:25
FX6,70200,2025-12-30 14:59:53,2025-12-30 15:00:10
FX6,70200,2025-12-30 15:00:13,2025-12-30 15:00:25
A7S3,24105,2025-12-30 15:00:18,2025-12-30 15:00:41
FX6,70200,2025-12-30 15:01:11,2025-12-30 15:01:47
A7S3,24105,2025-12-30 15:01:16,2025-12-30 15:01:37
A7S3,24105,2025-12-30 15:01:28,2025-12-30 15:01:36
FX6,70200,2025-12-30 15:01:47,2025-12-30 15:02:09
A7S3,24105,2025-12-30 15:01:52,2025-12-30 15:02:09
FX6,24105,2025-12-30 15:02:31,2025-12-30 15:06:58
FX6,70200,2025-12-30 15:02:42,2025-12-30 15:02:49
A7S3,24105,2025-12-30 15:02:59,2025-12-30 15:03:14
A7S3,24105,2025-12-30 15:03:37,2025-12-30 15:03:49
A7S3,24105,2025-12-30 15:04:02,2025-12-30 15:04:17
FX6,70200,2025-12-30 15:04:25,2025-12-30 15:05:45
A7S3,24105,2025-12-30 15:04:30,2025-12-30 15:04:40
FX6,70200,2025-12-30 15:05:38,2025-12-30 15:06:04
FX6,70200,2025-12-30 15:05:46,2025-12-30 15:05:51
A7S3,24105,2025-12-30 15:06:11,2025-12-30 15:06:25
FX6,70200,2025-12-30 15:06:11,2025-12-30 15:06:18
A7S3,24105,2025-12-30 15:06:38,2025-12-30 15:06:50
FX6,70200,2025-12-30 15:07:38,2025-12-30 15:08:15
A7S3,24105,2025-12-30 15:07:43,2025-12-30 15:08:01
FX6,70200,2025-12-30 15:08:12,2025-12-30 15:08:21
FX6,24105,2025-12-30 15:09:03,2025-12-30 15:15:33
A7S3,24105,2025-12-30 15:09:06,2025-12-30 15:09:18
FX6,70200,2025-12-30 15:09:14,2025-12-30 15:09:32
A7S3,24105,2025-12-30 15:09:24,2025-12-30 15:09:28
FX6,70200,2025-12-30 15:09:38,2025-12-30 15:09:43
FX6,70200,2025-12-30 15:10:06,2025-12-30 15:10:32
FX6,24105,2025-12-30 15:10:14,2025-12-30 15:11:21
FX6,70200,2025-12-30 15:10:23,2025-12-30 15:10:38
A7S3,24105,2025-12-30 15:10:37,2025-12-30 15:11:05
FX6,70200,2025-12-30 15:10:48,2025-12-30 15:11:00
FX6,70200,2025-12-30 15:11:01,2025-12-30 15:11:09
FX6,70200,2025-12-30 15:11:12,2025-12-30 15:11:22
FX6,70200,2025-12-30 15:11:44,2025-12-30 15:12:10
FX6,70200,2025-12-30 15:12:03,2025-12-30 15:12:20
A7S3,24105,2025-12-30 15:12:13,2025-12-30 15:12:30
FX6,70200,2025-12-30 15:13:02,2025-12-30 15:13:21
FX6,70200,2025-12-30 15:13:14,2025-12-30 15:13:22
A7S3,24105,2025-12-30 15:13:15,2025-12-30 15:13:35
A7S3,24105,2025-12-30 15:13:32,2025-12-30 15:13:46
FX6,70200,2025-12-30 15:13:33,2025-12-30 15:13:51
FX6,70200,2025-12-30 15:13:45,2025-12-30 15:13:56
FX6,70200,2025-12-30 15:14:17,2025-12-30 15:14:35
A7S3,24105,2025-12-30 15:14:21,2025-12-30 15:14:37
FX6,24105,2025-12-30 15:15:17,2025-12-30 15:20:19
FX6,70200,2025-12-30 15:15:48,2025-12-30 15:15:57
FX6,24105,2025-12-30 15:16:06,2025-12-30 15:16:54
FX6,70200,2025-12-30 15:16:06,2025-12-30 15:16:20
FX6,70200,2025-12-30 15:16:20,2025-12-30 15:16:30
FX6,70200,2025-12-30 15:16:41,2025-12-30 15:16:53
A7S3,24105,2025-12-30 15:17:27,2025-12-30 15:17:45
FX6,70200,2025-12-30 15:18:00,2025-12-30 15:18:21
A7S3,24105,2025-12-30 15:18:17,2025-12-30 15:18:38
A7S3,24105,2025-12-30 15:18:46,2025-12-30 15:19:02
FX6,24105,2025-12-30 15:19:29,2025-12-30 15:22:51
FX6,70200,2025-12-30 15:20:03,2025-12-30 15:20:19
FX6,24105,2025-12-30 15:20:31,2025-12-30 15:21:32
FX6,70200,2025-12-30 15:21:16,2025-12-30 15:21:58
FX6,70200,2025-12-30 15:22:10,2025-12-30 15:22:37
A7S3,24105,2025-12-30 15:22:13,2025-12-30 15:22:22
A7S3,24105,2025-12-30 15:22:27,2025-12-30 15:22:34
A7S3,24105,2025-12-30 15:22:54,2025-12-30 15:23:08
A7S3,24105,2025-12-30 15:23:22,2025-12-30 15:23:32
A7S3,24105,2025-12-30 15:23:54,2025-12-30 15:24:07
FX6,70200,2025-12-30 15:24:06,2025-12-30 15:24:14
A7S3,24105,2025-12-30 15:24:15,2025-12-30 15:24:24
A7S3,24105,2025-12-30 15:24:26,2025-12-30 15:24:32
A7S3,24105,2025-12-30 15:24:59,2025-12-30 15:25:10
FX6,24105,2025-12-30 15:25:17,2025-12-30 15:30:01
FX6,70200,2025-12-30 15:25:58,2025-12-30 15:26:17
FX6,24105,2025-12-30 15:26:19,2025-12-30 15:27:20
FX6,70200,2025-12-30 15:26:19,2025-12-30 15:26:40
FX6,70200,2025-12-30 15:26:33,2025-12-30 15:26:39
FX6,70200,2025-12-30 15:26:41,2025-12-30 15:26:47
FX6,70200,2025-12-30 15:27:19,2025-12-30 15:27:49
FX6,70200,2025-12-30 15:27:38,2025-12-30 15:27:55
FX6,70200,2025-12-30 15:28:39,2025-12-30 15:28:54
FX6,70200,2025-12-30 15:29:03,2025-12-30 15:29:24
A7S3,24105,2025-12-30 15:29:43,2025-12-30 15:30:01
A7S3,24105,2025-12-30 15:30:29,2025-12-30 15:30:49
FX6,70200,2025-12-30 15:30:41,2025-12-30 15:30:58
A7S3,24105,2025-12-30 15:31:22,2025-12-30 15:31:31
FX6,24105,2025-12-30 15:31:34,2025-12-30 15:36:48
FX6,70200,2025-12-30 15:32:02,2025-12-30 15:32:16
A7S3,24105,2025-12-30 15:32:05,2025-12-30 15:32:29
FX6,70200,2025-12-30 15:32:33,2025-12-30 15:32:46
FX6,70200,2025-12-30 15:32:58,2025-12-30 15:33:21
FX6,24105,2025-12-30 15:33:04,2025-12-30 15:34:33
FX6,70200,2025-12-30 15:33:18,2025-12-30 15:33:34
FX6,70200,2025-12-30 15:33:39,2025-12-30 15:33:56
FX6,70200,2025-12-30 15:34:08,2025-12-30 15:34:30
A7S3,24105,2025-12-30 15:34:40,2025-12-30 15:35:48
FX6,70200,2025-12-30 15:34:44,2025-12-30 15:35:04
A7S3,24105,2025-12-30 15:35:17,2025-12-30 15:35:40
FX6,70200,2025-12-30 15:35:46,2025-12-30 15:35:58
A7S3,24105,2025-12-30 15:35:58,2025-12-30 15:36:24
FX6,70200,2025-12-30 15:36:15,2025-12-30 15:36:41
A7S3,24105,2025-12-30 15:36:23,2025-12-30 15:36:36
A7S3,24105,2025-12-30 15:36:49,2025-12-30 15:37:02
FX6,70200,2025-12-30 15:37:10,2025-12-30 15:37:15
A7S3,24105,2025-12-30 15:37:21,2025-12-30 15:37:41
A7S3,24105,2025-12-30 15:37:44,2025-12-30 15:38:00
FX6,24105,2025-12-30 15:37:51,2025-12-30 15:42:37
A7S3,24105,2025-12-30 15:37:59,2025-12-30 15:38:03
FX6,70200,2025-12-30 15:38:21,2025-12-30 15:38:26
A7S3,24105,2025-12-30 15:38:29,2025-12-30 15:38:33
FX6,24105,2025-12-30 15:38:53,2025-12-30 15:39:54
FX6,70200,2025-12-30 15:38:54,2025-12-30 15:39:20
FX6,70200,2025-12-30 15:39:11,2025-12-30 15:39:26
FX6,70200,2025-12-30 15:39:21,2025-12-30 15:39:26
FX6,70200,2025-12-30 15:39:33,2025-12-30 15:39:37
FX6,70200,2025-12-30 15:39:50,2025-12-30 15:40:00
FX6,70200,2025-12-30 15:40:01,2025-12-30 15:40:07
FX6,70200,2025-12-30 15:40:14,2025-12-30 15:40:25
A7S3,24105,2025-12-30 15:40:21,2025-12-30 15:40:47
A7S3,24105,2025-12-30 15:40:53,2025-12-30 15:41:07
FX6,70200,2025-12-30 15:42:06,2025-12-30 15:42:29
FX6,70200,2025-12-30 15:43:19,2025-12-30 15:43:31
FX6,24105,2025-12-30 15:43:34,2025-12-30 15:48:14
A7S3,24105,2025-12-30 15:43:37,2025-12-30 15:43:56
FX6,24105,2025-12-30 15:43:46,2025-12-30 15:43:57
FX6,70200,2025-12-30 15:43:46,2025-12-30 15:44:02
FX6,70200,2025-12-30 15:44:19,2025-12-30 15:44:44
FX6,70200,2025-12-30 15:44:43,2025-12-30 15:45:02
A7S3,24105,2025-12-30 15:45:35,2025-12-30 15:45:50
A7S3,24105,2025-12-30 15:45:45,2025-12-30 15:45:52
FX6,70200,2025-12-30 15:46:03,2025-12-30 15:46:17
FX6,70200,2025-12-30 15:46:15,2025-12-30 15:46:24
A7S3,24105,2025-12-30 15:46:22,2025-12-30 15:46:36
FX6,70200,2025-12-30 15:46:34,2025-12-30 15:46:47
A7S3,24105,2025-12-30 15:46:41,2025-12-30 15:46:50
FX6,70200,2025-12-30 15:47:47,2025-12-30 15:47:55
FX6,24105,2025-12-30 15:48:29,2025-12-30 15:53:11
FX6,70200,2025-12-30 15:48:49,2025-12-30 15:48:54
A7S3,24105,2025-12-30 15:49:02,2025-12-30 15:49:25
FX6,70200,2025-12-30 15:49:16,2025-12-30 15:49:38
FX6,24105,2025-12-30 15:49:37,2025-12-30 15:50:43
FX6,70200,2025-12-30 15:49:41,2025-12-30 15:49:54
FX6,70200,2025-12-30 15:50:07,2025-12-30 15:50:26
FX6,70200,2025-12-30 15:50:17,2025-12-30 15:50:24
A7S3,24105,2025-12-30 15:50:36,2025-12-30 15:50:59
FX6,70200,2025-12-30 15:50:41,2025-12-30 15:51:02
A7S3,24105,2025-12-30 15:50:59,2025-12-30 15:51:16
FX6,70200,2025-12-30 15:51:45,2025-12-30 15:52:11
A7S3,24105,2025-12-30 15:52:13,2025-12-30 15:52:30
FX6,70200,2025-12-30 15:52:44,2025-12-30 15:52:58
FX6,24105,2025-12-30 15:53:26,2025-12-30 15:57:14
A7S3,24105,2025-12-30 15:53:28,2025-12-30 15:54:10
A7S3,24105,2025-12-30 15:53:48,2025-12-30 15:54:03
FX6,70200,2025-12-30 15:53:55,2025-12-30 15:54:12
A7S3,24105,2025-12-30 15:54:02,2025-12-30 15:54:14
FX6,70200,2025-12-30 15:54:17,2025-12-30 15:54:37
FX6,70200,2025-12-30 15:54:48,2025-12-30 15:55:01
FX6,70200,2025-12-30 15:55:29,2025-12-30 15:55:40
A7S3,24105,2025-12-30 15:56:01,2025-12-30 15:56:16
FX6,70200,2025-12-30 15:56:20,2025-12-30 15:56:41
FX6,70200,2025-12-30 15:56:46,2025-12-30 15:56:51
A7S3,24105,2025-12-30 15:56:50,2025-12-30 15:56:55
FX6,70200,2025-12-30 15:57:00,2025-12-30 15:57:11
FX6,70200,2025-12-30 15:57:06,2025-12-30 15:57:09
FX6,70200,2025-12-30 15:57:22,2025-12-30 15:57:30
A7S3,24105,2025-12-30 15:57:47,2025-12-30 15:58:19
FX6,70200,2025-12-30 15:57:47,2025-12-30 15:57:59
A7S3,24105,2025-12-30 15:58:04,2025-12-30 15:58:19
FX6,24105,2025-12-30 15:58:32,2025-12-30 16:03:37
FX6,70200,2025-12-30 15:58:45,2025-12-30 15:58:57
A7S3,24105,2025-12-30 15:59:28,2025-12-30 15:59:37
FX6,24105,2025-12-30 15:59:35,2025-12-30 16:00:37
FX6,70200,2025-12-30 16:00:01,2025-12-30 16:00:51
FX6,70200,2025-12-30 16:00:26,2025-12-30 16:00:49
A7S3,24105,2025-12-30 16:00:48,2025-12-30 16:00:55
FX6,70200,2025-12-30 16:01:18,2025-12-30 16:01:37
A7S3,24105,2025-12-30 16:01:54,2025-12-30 16:02:26
FX6,70200,2025-12-30 16:01:58,2025-12-30 16:02:18
A7S3,24105,2025-12-30 16:02:35,2025-12-30 16:02:56
A7S3,24105,2025-12-30 16:03:00,2025-12-30 16:03:15
FX6,70200,2025-12-30 16:03:17,2025-12-30 16:04:08
A7S3,24105,2025-12-30 16:03:35,2025-12-30 16:03:57
FX6,24105,2025-12-30 16:04:00,2025-12-30 16:08:24
A7S3,24105,2025-12-30 16:04:04,2025-12-30 16:04:16
A7S3,24105,2025-12-30 16:04:30,2025-12-30 16:04:48
FX6,70200,2025-12-30 16:04:37,2025-12-30 16:05:01
FX6,24105,2025-12-30 16:05:00,2025-12-30 16:05:59
FX6,70200,2025-12-30 16:05:00,2025-12-30 16:05:21
FX6,70200,2025-12-30 16:05:08,2025-12-30 16:05:13
A7S3,24105,2025-12-30 16:05:11,2025-12-30 16:05:25
FX6,70200,2025-12-30 16:05:37,2025-12-30 16:06:02
FX6,70200,2025-12-30 16:05:56,2025-12-30 16:06:11
FX6,70200,2025-12-30 16:06:28,2025-12-30 16:06:51
FX6,70200,2025-12-30 16:07:05,2025-12-30 16:07:34
A7S3,24105,2025-12-30 16:07:16,2025-12-30 16:07:36
FX6,70200,2025-12-30 16:07:18,2025-12-30 16:07:30
A7S3,24105,2025-12-30 16:07:39,2025-12-30 16:07:55
FX6,70200,2025-12-30 16:08:04,2025-12-30 16:08:18
FX6,70200,2025-12-30 16:08:42,2025-12-30 16:08:49
A7S3,24105,2025-12-30 16:08:43,2025-12-30 16:08:58
FX6,70200,2025-12-30 16:09:02,2025-12-30 16:09:21
FX6,24105,2025-12-30 16:09:46,2025-12-30 16:14:31
FX6,70200,2025-12-30 16:10:16,2025-12-30 16:10:27
FX6,24105,2025-12-30 16:10:51,2025-12-30 16:11:54
A7S3,24105,2025-12-30 16:13:14,2025-12-30 16:13:36
A7S3,24105,2025-12-30 16:13:37,2025-12-30 16:13:45
